Node,Full_Depth,Max_depth(SWMM),basement flooding
Local_LC074_&_LC191_MH05,20.45,0.48,0
Local_LC074_MH01,19.82,0.46,0
Local_LC074_MH02,19.26,0.48,0
Local_LC074_MH03,19.81,0.5,0
Local_LC074_MH04,18.94,0.56,0
Local_LC075_MH01,7.93,0.32,1
Local_LC075_MH02,6.45,0.52,1
Local_LC079_&_LC080_L5MR_MH00326.8,24.15,0.43,0
Local_LC079_&_LC080_L5MR_MH00624.1,23.13,0.43,0
Local_LC079_&_LC080_L5MR_MH01060.6,22.52,0.43,0
Local_LC080_&_LC081_LV11,21.63,0.27,0
Local_LC080_L5MR_MH01504.8,28.94,0.56,0
Local_LC080_L5MR_MH02128.8,28.69,0.52,0
Local_LC080_L5MR_MH02570.8,26.01,0.52,0
Local_LC080_L5MR_MH02754.8,24.89,0.56,0
Local_LC080_L5MR_MH02995.8,25.51,0.6,0
Local_LC080_L5MR_MH03455.7,20.65,0.58,0
Local_LC080_L5MR_MH03920.9,18.63,0.58,0
Local_LC080_L5MR_MH04081.0,18.47,0.58,0
Local_LC080_L5MR_MH04173.4,18.38,0.58,0
Local_LC080_L5MR_MH04306.6,18.5,0.58,0
Local_LC080_L5MR_MH04635.1,21.52,0.58,0
Local_LC080_L5MR_MH04966.0,27.62,0.49,0
Local_LC080_L5MR_MH05292.0,24.73,0.49,0
Local_LC080_L5MR_MH05455.3,24.29,0.49,0
Local_LC080_L5MR_MH05740.8,23.69,0.47,0
Local_LC080_L5MR_MH05935.0,21.94,0.49,0
Local_LC080_L5MR_MH06160.2,20.06,0.57,0
Local_LC080_L5MR_MH06413.7,18.33,0.55,0
Local_LC080_L5MR_MH06862.9,17.85,0.55,0
Local_LC080_L5MR_MH07252.5,17.62,0.55,0
Local_LC080_L5MR_MH07762.8,17.36,0.6,0
Local_LC080_L5MR_MH08267.7,17.25,0.58,0
Local_LC080_L5MR_MH08766.1,17.1,0.58,0
Local_LC080_L5MR_MH09214.2,17.36,0.58,0
Local_LC080_L5MR_MH09543.7,17.07,0.58,0
Local_LC080_L5MR_MH09891.3,16.65,0.58,0
Local_LC080_L5MR_MH10184.5,16.75,0.58,0
Local_LC080_L5MR_MH10519.7,17.25,0.58,0
Local_LC080_L5MR_MH10815.4,17.89,0.58,0
Local_LC080_L5MR_MH10940.9,16.09,0.58,0
Local_LC080_L5MR_MH11004.9,15.99,0.56,0
Local_LC080_L5MR_MH11150.9,14.28,0.33,0
Local_LC080_L5MR_MH11478.2,16.8,0.63,0
Local_LC080_L5MR_MH11808.9,15.6,0.58,0
Local_LC080_L5MR_MH12139.1,15.37,0.49,0
Local_LC080_L5MR_MH12676.5,15.75,0.62,0
Local_LC080_L5MR_MH13163.9,17.82,0.58,0
Local_LC080_L5MR_MH13603.6,20.7,0.58,0
Local_LC080_L5MR_MH13712.5,18.88,0.56,0
Local_LC080_L5MR_MH14039.1,20.18,0.56,0
Local_LC080_L5MR_MH14410.7,21.66,0.56,0
Local_LC080_L5MR_MH14741.4,22.37,0.56,0
Local_LC080_L5MR_MH15069.4,22.48,0.56,0
Local_LC080_L5MR_MH15401.3,23.28,0.56,0
Local_LC080_L5MR_MH15727.9,30.14,0.68,0
Local_LC080_L5MR_MH16059.2,32.35,0.65,0
Local_LC080_L5MR_MH16329.6,28.96,0.65,0
Local_LC080_L5MR_MH16705.6,27.76,0.74,0
Local_LC080_L5MR_MH17047.3,23.2,0.72,0
Local_LC080_L5MR_MH17364.7,20.52,0.62,0
Local_LC080_L5MR_MH17444.6,20.92,0.61,0
Local_LC080_L5MR_MH17813.6,23.78,0.62,0
Local_LC080_L5MR_MH18220.5,27.14,0.62,0
Local_LC080_L5MR_MH18675.5,18.42,0.57,0
Local_LC080_L5MR_MH19087.2,14.72,0.64,0
Local_LC080_L5MR_MH19111.2,14.4,0.63,0
Local_LC080_L5MR_MH19414.2,14.32,0.62,0
Local_LC080_L5MR_MH19727.2,14.08,0.62,0
Local_LC080_L5MR_MH19755.4,15.36,0.63,0
Local_LC080_L5MR_MH20128.2,25.2,0.65,0
Local_LC093_&_LC095_MH0688,20.0,0.19,0
Local_LC095_&_LC202_MH5537,11.04,0.25,0
Local_LC095_&_LC202_MH5576,11.92,0.11,0
Local_LC095_MH0090,20.0,0.0,0
Local_LC095_MH0439,20.0,0.22,0
Local_LC095_MH0479,20.0,0.05,0
Local_LC095_MH0691,20.0,0.0,0
Local_LC095_MH1061,20.53,0.11,0
Local_LC095_MH1062,21.1,0.0,0
Local_LC095_MH1171,10.25,0.12,0
Local_LC095_MH5394,16.3,0.13,0
Local_LC096_07_MH1,15.13,0.25,0
Local_LC096_07_MH2,14.58,0.21,0
Local_LC096_30_MH1,15.28,0.2,0
Local_LC096_30_MH2,13.84,0.19,0
Local_LC096_33_MH1,25.9,0.22,0
Local_LC096_33_MH2,27.72,0.37,0
Local_LC116_Reg_MH01,19.81,2.09,0
Local_LC127_MH01,10.6,0.06,0
Local_LC128_MH01,17.35,0.18,0
Local_LC129_MH01,17.7,0.57,0
Local_LC129_MH01A,15.4,0.27,0
Local_LC129_MH02,14.7,0.27,0
Local_LC129_MH03,14.3,0.28,0
Local_LC129_MH04,14.5,0.27,0
Local_LC129_MH05,14.4,0.28,0
Local_LC130_MH01,18.05,0.87,0
Local_LC130_MH02,17.24,0.39,0
Local_LC130_MH03,15.39,0.23,0
Local_LC130_MH04,14.55,0.23,0
Local_LC132_MH01,9.44,0.08,0
Local_LC132_MH02,10.05,0.08,0
Local_LC134_MH01,20.18,0.11,0
Local_LC135_MH01,19.0,0.18,0
Local_LC135_MH02,17.71,0.33,0
Local_LC135_MH03,16.51,0.33,0
Local_LC135_MH04,14.79,0.33,0
Local_LC135_MH05,15.16,0.33,0
Local_LC135_MH06,15.94,0.33,0
Local_LC135_MH07,14.71,0.33,0
Local_LC169_MH01,10.74,0.03,0
Local_LC170_MH01,12.68,0.02,0
Local_LC171_MH01,14.27,0.03,0
Local_LC174_MH01,11.4,1.0,0
Local_LC174_MH02,10.0,0.55,0
Local_LC174_MH03,10.0,0.49,0
Local_LC174_MH04,10.0,0.74,0
Local_LC174_MH05,10.0,0.69,0
Local_LC174_MH06,10.0,0.81,0
Local_LC174_MH07,10.0,0.79,0
Local_LC174_MH08,10.0,0.78,0
Local_LC174_MH09,10.5,0.79,0
Local_LC174_MH10,10.0,0.78,0
Local_LC174_MH11,10.0,0.78,0
Local_LC174_MH12,10.0,0.78,0
Local_LC177_MH01,7.3,0.03,1
Local_LC178_MH01,9.58,0.14,0
Local_LC178_MH02,21.86,0.12,0
Local_LC179_MH01,6.38,0.09,1
Local_LC179_MH02,12.11,0.13,0
Local_LC180_MH01,12.0,0.03,0
Local_LC180_MH02,12.0,0.06,0
Local_LC181_MH01,9.15,0.17,0
Local_LC181_MH02,28.21,0.14,0
Local_LC182_MH01,6.06,0.11,1
Local_LC182_MH02,2.41,0.11,1
Local_LC183_MH01,20.0,0.58,0
Local_LC183_MH02,19.0,0.67,0
Local_LC183_MH03,19.6,0.54,0
Local_LC183_MH04,19.0,0.54,0
Local_LC183_MH05,18.0,0.64,0
Local_LC186_&_LC187_MH01,18.0,0.14,0
Local_LC186_&_LC187_MH02,15.0,0.25,0
Local_LC186_MH01,9.5,0.21,0
Local_LC186_MH02,6.0,0.14,1
Local_LC186_MH03,6.0,0.14,1
Local_LC186_MH04,8.0,0.23,1
Local_LC186_MH04_ToRVI,16.79,0.29,0
Local_LC186_MH05,17.0,0.64,0
Local_LC188_BT,12.45,2.78,0
Local_LC188_GVC_MH01,10.35,0.68,0
Local_LC188_GVC_MH02,9.3,0.11,0
Local_LC188_GVC_MH03,13.8,0.08,0
Local_LC188_GVC_MH04,20.9,0.07,0
Local_LC188_GVC_MH05,23.3,0.11,0
Local_LC188_GVC_MH06,20.1,0.1,0
Local_LC188_GVC_MH07,19.1,0.1,0
Local_LC188_GVC_MH08,19.0,0.09,0
Local_LC188_GVC_MH09,18.3,0.08,0
Local_LC191_MH01,17.85,0.16,0
Local_LC191_MH02,16.65,0.21,0
Local_LC191_MH03,14.88,0.11,0
Local_LC199_MH1,21.2,2.51,0
Local_LC199_MH2,17.5,5.89,0
Local_LC204_MH1,14.07,0.19,0
LV_4,16.32,0.51,0
LV_5,17.8,0.51,0
M10_2,16.67,21.36,1
m3000-SOT140005,31.52,6.37,0
m3010-SOT140011,37.0,6.21,0
m3020-SOT136010,83.89,7.41,0
m3030-DUMMY3030B,35.0,2.91,0
m3090-SOT132002,9.1,2.56,1
m3130-SOT055907,16.7,0.91,0
m3270-SOT012607,17.4,7.22,0
m3370-BLT137019,7.5,1.14,1
M8_1,19.17,19.17,1
M8_2,17.75,12.02,1
M8_3,21.81,5.68,0
M8_4,22.15,6.03,0
M8_5,21.9,7.01,0
M8_6,19.5,6.61,0
M8_7,20.28,7.05,0
M8_8,22.9,6.67,0
MAK-11,25.89,25.89,1
MAK-12,25.26,25.26,1
MAK-13,23.0,23.0,1
MAK-14,22.43,22.43,1
MAK-15,22.32,22.32,1
MAK-18,22.32,22.32,1
MAK-19,19.17,19.17,1
MAK-2,26.34,24.73,1
MAK-20,17.06,17.06,1
MAK-3,23.18,21.51,1
MAK-4,21.97,21.97,1
MAK-5,21.11,21.11,1
MAK-6,18.93,18.93,1
MAK-7,18.31,18.31,1
MAK-8,17.85,17.85,1
MAK-9,17.81,17.81,1
MarterDischargeChannel,30.0,1.18,0
MarterPump1Outlet,18.0,0.01,0
MarterPump2Outlet,18.0,3.47,0
MartinBasinDewatering,19.0,11.74,1
MartinBasinInfluentGates,12.0,8.19,1
MartinDrainEffluent2,10.0,5.75,1
MartinDrainInfluentBox,10.0,5.93,1
MartinRegulatorChamber,20.0,16.46,1
MDOT_I75_01,11.16,1.51,0
MDOT_M102-01,20.38,21.84,1
MDOT_M102-02,17.55,17.74,1
MDOT_M102-03,10.94,11.2,1
MDOT_M102-04,17.25,17.31,1
MDOT_M102-05,15.16,15.26,1
MDOT_M102-06,11.18,11.24,1
MDOT_M102-07,24.9,24.9,1
MDOT_M102-08,21.61,21.94,1
MDOT_M102-09,21.08,17.23,1
MH07303,14.88,17.53,1
MH10,22.7,3.01,0
MH103,40.46,40.46,1
MH11,21.5,9.15,0
MH12,26.9,24.49,1
MH124,18.95,23.76,1
MH132,23.11,23.63,1
MH136,30.094,30.09,1
MH137,15.87,14.45,1
MH15,25.442,25.44,1
MH16,19.08,1.6,0
MH17,40.11,14.43,0
MH18,39.08,39.08,1
MH2,19.15,19.17,1
MH22,22.019,22.03,1
MH3,21.41,21.41,1
MH39,20.09,20.09,1
MH40,45.78,9.97,0
MH41,43.92,12.5,0
MH42,41.38,22.75,0
MH43,33.5,21.18,0
MH44,23.87,19.78,1
MH45,26.8,20.15,1
MH46,27.52,27.52,1
MH48,43.72,9.17,0
MH49,43.98,39.75,1
MH5,32.47,31.0,1
MH50,30.91,30.91,1
MH53,13.553,8.01,1
MH64,24.11,23.26,1
MH67,47.72,45.53,1
MH69,41.5,41.5,1
MH7,14.75,14.86,1
MH72,12.65,12.66,1
MH77,15.96,23.45,1
MH78,19.27,19.13,1
MH79,39.42,38.58,1
MH80,35.49,35.49,1
ML_063,28.21,4.79,0
ML_074D,27.74,10.44,0
ML_079D,27.38,6.03,0
MR-1002,39.76,38.47,1
MR-1003,39.5,33.91,1
MR-1004,39.23,33.96,1
MR-1005,38.97,34.44,1
MR-1010,38.7,34.92,1
MR-1012,37.58,33.71,1
MR-1015,37.37,36.49,1
MR-1022,32.65,32.65,1
MR-1024,32.12,31.3,1
MR-1026,31.58,28.95,1
MR-1030,31.05,28.73,1
MR-1050,28.94,27.5,1
MR-1060,26.24,26.24,1
MR-1070,23.99,23.99,1
MR-1080,18.29,18.29,1
MR-11020,50.0,7.59,0
MR-11040,50.0,7.44,0
MR-12020,50.0,8.49,0
MR-2004,33.15,33.15,1
MR-2005,33.04,31.51,1
MR-2006,32.94,32.11,1
MR-2007,32.84,32.58,1
MR-2008,32.74,32.74,1
MR-2009,32.63,32.63,1
MR-2010,32.58,32.58,1
MR-2012,31.28,31.28,1
MR-2014,30.88,30.88,1
MR-2016,30.48,30.48,1
MR-2018,30.08,30.08,1
MR-2019,29.68,29.68,1
MR-2030,27.05,26.91,1
MR-2032,27.35,27.35,1
MR-2034,27.66,27.66,1
MR-2036,27.96,27.96,1
MR-2038,28.26,28.26,1
MR-2039,28.57,28.57,1
MR-2040,28.87,28.87,1
MR-2042,18.0,18.0,1
MR-2044,17.58,17.58,1
MR-2045,17.15,17.15,1
MR-2046,16.72,16.72,1
MR-2047,16.3,16.3,1
MR-2048,15.87,15.87,1
MR-3000,15.44,15.44,1
MR-4000,21.91,21.91,1
MR-4002,21.97,21.97,1
MR-4004,22.29,22.29,1
MR-4006,22.62,22.62,1
MR-4008,22.94,22.94,1
MR-4010,23.26,23.26,1
MR-4012,23.58,23.58,1
MR-4014,23.9,23.9,1
MR-4016,24.22,24.22,1
MR-4018,24.54,24.54,1
MRD-1,13.0,13.0,1
MRD-10,10.0,7.24,1
MRD-10A,10.0,6.63,1
MRD-11,12.73,7.09,1
MRD-12,14.6,6.94,1
MRD-13,12.5,6.79,1
MRD-14,14.8,6.65,0
MRD-16,14.3,5.9,0
MRD-17,14.2,5.7,0
MRD-18,15.1,5.44,0
MRD-19,17.0,5.21,0
MRD-2,13.0,13.0,1
MRD-20,16.8,5.13,0
MRD-21,16.6,5.11,0
MRD-22,16.0,5.11,0
MRD-23,16.7,5.08,0
MRD-24,18.23,5.2,0
MRD-25,18.2,5.53,0
MRD-26,18.2,5.82,0
MRD-27,19.17,5.97,0
MRD-28,17.3,5.66,0
MRD-29,16.7,5.39,0
MRD-30,17.1,5.2,0
MRD-31,19.8,5.04,0
MRD-32,20.46,5.69,0
MRD-33,21.5,2.26,0
MRD-34,19.0,3.54,0
MRD-35,20.4,2.9,0
MRD-36,22.3,2.76,0
MRD-37,24.4,2.72,0
MRD-38,26.4,2.69,0
MRD-39,23.6,2.37,0
MRD-40,25.93,2.85,0
MRD-41,24.82,3.02,0
MRD-43,24.38,3.0,0
MRD-44,25.41,3.01,0
MRD-45,24.47,3.08,0
MRD-46,25.19,3.13,0
MRD-47,26.81,3.16,0
MRD-48,25.26,3.18,0
MRD-49,26.06,3.22,0
MRD-50,24.66,2.94,0
MRD-51,26.01,3.4,0
MRD-52,25.61,4.01,0
MRD-53,25.59,5.27,0
MRD-54,24.75,6.38,0
MRD-55,22.57,6.69,0
MRD-56,21.69,12.65,0
MRD-57,20.89,3.38,0
MRD-58,19.4,2.85,0
MRD-59,17.82,2.35,0
MRD-60,16.73,1.29,0
MRD-61,15.22,0.88,0
MRD-62,15.9,0.36,0
MRD-63,15.71,0.36,0
MRD-7,13.0,13.0,1
MRD-8A,10.0,10.29,1
MRD-9,10.56,6.8,1
NeffPSSanChannel,23.0,12.5,0
NeffPSStormChannel,23.0,12.5,0
NeffPSStormChannel7,5.72,0.0,1
NER-10,15.57,0.26,0
NER-11,13.82,0.24,0
NER-12,11.92,0.22,0
NER-13,13.3,0.2,0
NER-14,10.5,0.07,0
NER-15,9.05,0.27,0
NER-16,8.65,0.15,0
NER-17,4.8,0.1,1
NER-18,10.0,10.0,1
NER-19,15.5,15.5,1
NER-2,22.98,0.64,0
NER-21,16.42,16.42,1
NER-22,17.09,17.09,1
NER-23,7.9,2.27,1
NER-24,27.39,27.39,1
NER-25,26.6,26.6,1
NER-26,26.99,26.99,1
NER-27,26.66,26.66,1
NER-29,23.24,23.24,1
NER-3,24.17,0.56,0
NER-30,23.79,23.79,1
NER-31,24.63,24.63,1
NER-32,23.88,23.88,1
NER-33,21.82,21.82,1
NER-34,20.01,20.01,1
NER-35,18.96,18.96,1
NER-36,19.42,19.42,1
NER-37,18.35,18.35,1
NER-38,18.67,18.67,1
NER-39,17.78,17.78,1
NER-4,24.53,0.48,0
NER-40,17.91,17.91,1
NER-41,19.23,19.23,1
NER-42,17.82,17.82,1
NER-43,18.01,18.01,1
NER-45,17.24,17.24,1
NER-46,16.26,16.26,1
NER-48,14.8,14.8,1
NER-49,13.61,13.61,1
NER-5,23.94,0.44,0
NER-51,12.85,12.85,1
NER-52,11.49,11.49,1
NER-54,10.9,10.9,1
NER-55,10.84,10.84,1
NER-56,10.78,10.78,1
NER-58,10.85,10.85,1
NER-59,9.28,9.28,1
NER-6,24.18,0.42,0
NER-60,9.28,9.28,1
NER-61,9.0,9.0,1
NER-62,20.79,20.79,1
NER-63,20.29,20.29,1
NER-64,19.82,19.82,1
NER-66,19.79,19.79,1
NER-67,20.94,20.94,1
NER-68,20.79,20.79,1
NER-69,18.92,18.92,1
NER-7,23.03,0.29,0
NER-70,19.45,19.45,1
NER-71,18.32,18.32,1
NER-73,15.6,15.6,1
NER-76,12.6,12.6,1
NER-8,18.79,0.39,0
NER-9,16.2,0.28,0
NESPS_Discharge1_OMID,17.18,0.0,0
NESPS_Discharge2_OMID,17.18,0.0,0
NESPS_Discharge4_OMID,28.18,4.74,0
NESPS_Discharge5_OMID,17.18,0.0,0
NESPS_Discharge6_OMID,17.18,0.0,0
NESPS_Pump1_HighPoint_OMID,17.17,0.0,0
NESPS_Pump2_HighPoint_OMID,17.17,0.0,0
NESPS_Pump4_HighPoint_OMID,28.17,0.0,0
NESPS_Pump5_HighPoint_OMID,17.17,0.0,0
NESPS_Pump6_HighPoint_OMID,17.17,0.0,0
NEWTP,24.29,24.36,1
NORM-1,17.0,12.09,1
NORM-2,15.28,15.28,1
NORM-4,13.7,9.45,1
NWR-1,21.49,0.76,0
NWR-10,25.47,1.21,0
NWR-12,25.83,1.08,0
NWR-13,22.44,0.84,0
NWR-14,12.46,1.11,0
NWR-15,12.74,1.13,0
NWR-18,12.37,1.0,0
NWR-19,7.42,1.09,1
NWR-2,20.36,1.25,0
NWR-20,7.7,1.13,1
NWR-21,7.4,1.14,1
NWR-22,6.7,1.16,1
NWR-23,6.75,1.27,1
NWR-24,9.3,29.3,1
NWR-25,7.48,57.48,1
NWR-26,10.03,60.03,1
NWR-27,8.0,58.0,1
NWR-28,7.1,57.1,1
NWR-29,7.12,57.12,1
NWR-3,21.95,1.29,0
NWR-30,8.06,58.06,1
NWR-33,26.42,0.69,0
NWR-34,24.7,0.67,0
NWR-35,24.11,0.77,0
NWR-36,24.54,0.75,0
NWR-37,23.01,0.49,0
NWR-38,21.07,0.73,0
NWR-39,19.78,0.67,0
NWR-4,24.39,1.28,0
NWR-40,18.65,0.61,0
NWR-41,18.74,0.62,0
NWR-42,18.77,0.61,0
NWR-5,23.46,1.24,0
NWR-6,23.31,1.28,0
NWR-7,23.26,1.14,0
NWR-8,23.84,1.2,0
NWR-9,24.79,1.21,0
NWRC-1,21.17,1.17,0
NWRC-10,22.33,1.49,0
NWRC-11,22.33,1.61,0
NWRC-12,22.33,1.4,0
NWRC-13,22.67,0.92,0
NWRC-16,22.58,0.88,0
NWRC-17,23.17,0.61,0
NWRC-2,22.5,0.93,0
NWRC-4,22.0,1.06,0
NWRC-7,23.0,0.91,0
NWRC-8,23.0,1.43,0
NWRC-9,22.5,1.47,0
P1,40.4,44.83,1
P10,43.0,46.78,1
P11,43.0,33.07,0
P12,43.0,33.55,0
P13,43.0,33.63,0
P14,43.0,0.0,0
P15,43.0,0.0,0
P16,43.0,0.0,0
P2,40.4,10.21,0
P3,40.4,11.25,0
P4,40.4,14.39,0
P5,40.4,56.44,1
P6,40.4,54.0,1
P7,40.4,57.57,1
P8,40.4,0.0,0
P9,43.0,46.78,1
PCI-10A_Sta.009+19_MH_OMID,23.4,1.28,0
PCI-10A_Sta.027+84_MH_OMID,21.9,1.38,0
PCI-10A_Sta.043+22_MH_OMID,21.2,1.36,0
PCI-10A_Sta.058+23_MH_OMID,20.7,1.33,0
PCI-10A_Sta.071+34_MH_OMID,18.9,1.36,0
PCI-10A_Sta.089+05_MH_OMID,19.5,1.35,0
PCI-10A_Sta.106+13_MH_OMID,18.6,1.35,0
PCI-10A_Sta.121+67_MH_OMID,19.5,1.35,0
PCI-10A_Sta.135+27_MH_OMID,25.2,1.35,0
PCI-10A_Sta.151+87_MH_OMID,20.3,1.35,0
PCI-10B_Sta.164+77_MH_OMID,42.9,1.35,0
PCI-10B_Sta.178+60_BT_OMID,55.6,1.35,0
PCI-10B_Sta.187+54_MH_OMID,30.0,1.31,0
PCI-10B_Sta.203+78_MH_OMID,28.9,1.31,0
PCI-10B_Sta.209+50_BT_OMID,29.1,1.31,0
PCI-11_Sta.012+61_MH_OMID,22.1,0.79,0
PCI-11_Sta.022+60_MH_OMID,6.3,0.64,1
PCI-11_Sta.023+96_MH_OMID,24.1,0.91,0
PCI-11_Sta.024+06_MH_OMID,23.7,0.98,0
PCI-11_Sta.027+29_MH_OMID,16.1,0.81,0
PCI-11_Sta.027+48_MH_OMID,17.2,1.47,0
PCI-11_Sta.030+12_MH_OMID,18.9,1.4,0
PCI-11_Sta.030+49_MH_OMID,16.1,0.28,0
PCI-11_Sta.036+66_MH_OMID,14.6,0.48,0
PCI-11_Sta.042+57_MH_OMID,13.0,0.47,0
PCI-11_Sta.067+69_MH_OMID,14.9,0.71,0
PCI-11_Sta.073+68_MH_OMID,12.1,0.71,0
PCI-11_Sta.079+37_MH_OMID,12.3,0.71,0
PCI-11_Sta.085+15_MH_OMID,12.1,0.71,0
PCI-11_Sta.091+51_MH_OMID,19.6,0.53,0
PCI-11_Sta.097+78_MH_OMID,24.4,0.54,0
PCI-11_Sta.100+95_MH_OMID,27.6,0.54,0
PCI-11_Sta.104+20_MH_OMID,26.6,0.52,0
PCI-11_Sta.107+32_MH_OMID,24.3,0.52,0
PCI-11_Sta.109+41_MH_OMID,27.5,0.52,0
PCI-11_Sta.111+53_MH_OMID,28.6,0.52,0
PCI-11_Sta.113+71_MH_OMID,29.0,0.53,0
PCI-11A_Sta.000+31_MH_OMID,45.5,0.59,0
PCI-11A_Sta.004+28_MH_OMID,21.4,0.75,0
PCI-11A_Sta.007+83_MH_OMID,17.7,0.7,0
PCI-11A_Sta.009+33_MH_OMID,21.5,0.71,0
PCI-11A_Sta.010+71_MH_OMID,23.5,0.62,0
PCI-11A_Sta.014+30_MH_OMID,22.6,0.69,0
PCI-11A_Sta.017+30_MH_OMID,27.0,0.68,0
PCI-11A_Sta.017+42_MH_OMID,25.3,1.18,0
PCI-12A_Sta.018+49_MH_OMID,57.8,5.64,0
PCI-38_Sta.110+23_MH_OMID,61.0,3.26,0
PCI-38_Sta.121+77_MH_OMID,58.6,5.31,0
PCI-5_Sta.003+50_MH_OMID,109.1,3.98,0
PCI-5_Sta.021+25_MH_OMID,103.9,3.49,0
PCI-5_Sta.042+40_MH_OMID,105.1,3.39,0
PCI-5_Sta.050+00_SC_OMID,104.7,3.85,0
PCI-5_Sta.055+00_SC_OMID,105.6,3.85,0
PCI-5_Sta.060+00_SC_OMID,105.4,3.79,0
PCI-5_Sta.060+90_MH_OMID,104.8,3.81,0
PCI-5_Sta.065+00_SC_OMID,104.6,3.91,0
PCI-5_Sta.070+00_SC_OMID,104.2,3.97,0
PCI-5_Sta.080+00_SC_OMID,104.8,4.3,0
PCI-5_Sta.082+60_MH_OMID,105.1,3.89,0
PCI-5_Sta.084+10_MH_OMID,104.3,3.66,0
PCI-5_Sta.085+00_SC_OMID,104.0,3.53,0
PCI-5_Sta.095+00_SC_OMID,100.3,3.17,0
PCI-5_Sta.100+00_SC_OMID,100.3,3.29,0
PCI-5_Sta.105+00_SC_OMID,100.5,3.69,0
PCI-5_Sta.106+25_MH_OMID,100.4,3.72,0
PCI-5_Sta.110+00_SC_OMID,99.4,3.83,0
PCI-5_Sta.115+00_SC_OMID,98.0,3.83,0
PCI-5_Sta.119+25_MH_OMID,97.5,3.81,0
PCI-5_Sta.120+00_SC_OMID,98.3,3.82,0
PCI-5_Sta.125+00_SC_OMID,98.2,3.98,0
PCI-5_Sta.131+19_MH_OMID,97.1,3.88,0
PCI-5_Sta.135+00_SC_OMID,96.2,3.27,0
PCI-5_Sta.140+00_SC_OMID,94.2,2.35,0
PCI-6_Sta.000+48_MH_OMID,92.8,3.03,0
PCI-6_Sta.013+97_MH_OMID,89.6,2.79,0
PCI-6_Sta.021+17_EOL_OMID,89.2,2.76,0
PCI-6_Sta.028+80_MH_OMID,88.7,3.27,0
PCI-6_Sta.043+75_MH_OMID,85.2,3.39,0
PCI-6_Sta.053+17_EOL_OMID,84.5,3.39,0
PCI-6_Sta.063+90_MH_OMID,83.6,3.0,0
PCI-6_Sta.082+10_MH_OMID,85.7,2.73,0
PCI-6_Sta.101+61_MH_OMID,86.7,2.75,0
PCI-6_Sta.118+00_MH_OMID,82.1,2.72,0
PCI-7_Sta.000+00_MH_OMID,79.3,2.74,0
PCI-7_Sta.018+25_MH_OMID,75.8,2.77,0
PCI-7_Sta.035+00_MH_OMID,72.9,2.74,0
PCI-7_Sta.051+66_MH_OMID,70.4,2.73,0
PCI-7_Sta.069+40_MH_OMID,67.6,2.74,0
PCI-7_Sta.083+76_MH_OMID,67.6,2.73,0
PCI-7_Sta.085+22_BT_OMID,67.7,2.73,0
PCI-7_Sta.096+03_MH_OMID,70.1,2.72,0
PCI-7_Sta.101+97_EOL_OMID,63.5,2.71,0
PCI-7_Sta.136+02_BT_OMID,63.7,6.01,0
PCI-7_Sta.136+27_MH_OMID,63.7,5.99,0
PCI-8_Sta.002+75_MH_OMID,64.2,4.33,0
PCI-8_Sta.014+02_MH_OMID,61.1,3.12,0
PCI-8_Sta.027+53_BT_OMID,57.3,2.39,0
PCI-8_Sta.031+06_MH_OMID,57.0,2.36,0
PCI-8_Sta.050+63_MH_OMID,54.3,1.93,0
PCI-8_Sta.069+02_MH_OMID,52.3,1.84,0
PCI-8_Sta.084+31_MH_OMID,51.6,1.84,0
PCI-8_Sta.100+45_MH_OMID,48.7,1.84,0
PCI-8_Sta.117+15_MH_OMID,44.8,1.84,0
PCI-8_Sta.118+00_SC_OMID,40.9,1.82,0
PCI-8_Sta.128+20_BT_OMID,44.3,1.48,0
PCI-8_Sta.133+59_MH_OMID,43.1,1.69,0
PCI-8_Sta.149+35_MH_OMID,42.6,1.67,0
PCI-8_Sta.166+11_MH_OMID,38.4,1.67,0
PCI-8_Sta.175+64_MH_OMID,40.8,1.67,0
PCI-8_Sta.176+39_DC_OMID,40.3,1.63,0
PCI-9_Sta.002+12_MH_OMID,41.2,1.95,0
PCI-9_Sta.021+47_MH_OMID,38.1,1.51,0
PCI-9_Sta.045+98_MH_OMID,39.7,1.52,0
PCI-9_Sta.062+50_MH_OMID,39.9,1.52,0
PCI-9_Sta.083+90_MH_OMID,40.9,1.52,0
PCI-9_Sta.104+35_MH_OMID,41.7,1.51,0
PCI-9_Sta.122+80_MH_OMID,43.3,1.52,0
PCI-9_Sta.131+20_BT_OMID,43.3,1.52,0
PCI-9_Sta.145+76_BT_OMID,45.8,1.5,0
PCI-9_Sta.147+50_MH_OMID,35.7,1.43,0
PCI-9_Sta.162+50_MH_OMID,36.1,1.42,0
PCI-9_Sta.179+22_MH_OMID,25.4,1.42,0
PCI-9_Sta.179+60_DC_OMID,24.8,1.83,0
PIP-1,17.75,17.75,1
PIP-3,16.18,8.27,1
PLEA-1,16.0,16.0,1
PLEA-4,15.5,6.86,0
PL-EFF-2,11.0,11.0,1
PS1_Discharge2,31.0,33.36,1
PS1_Discharge2B,31.0,28.79,1
PS1_Discharge3,21.0,16.27,1
PS1_Discharge4,21.0,14.2,1
PS1_Discharge5,21.0,16.21,1
PS1_Discharge6,21.0,14.18,1
PS1_Discharge7,21.0,17.57,1
RAU-1,18.56,18.56,1
RAU-3,17.08,9.49,1
RC1126,20.0,0.0,0
RC1127,40.0,0.0,0
RC1127A,40.0,0.0,0
