Node,Full_Depth,Max_depth(SWMM),basement flooding
9MD-38A,23.0,21.15,1
9MD-38B,23.0,21.46,1
9MD-38C,23.5,21.71,1
9MD-39,24.92,21.94,1
9MD-39A,24.5,22.34,1
9MD-4,10.05,10.05,1
9MD-40,24.38,23.69,1
9MD-41,24.62,24.62,1
9MD-42,26.44,26.44,1
9MD-42A,25.3,25.3,1
9MD-43,29.0,29.0,1
9MD-44,30.48,29.88,1
9MD-45,29.32,29.32,1
9MD-46,33.36,33.36,1
9MD-47,33.5,33.5,1
9MD-48,32.42,32.42,1
9MD-49,33.54,33.54,1
9MD-5,10.81,10.81,1
9MD-50,33.78,33.78,1
9MD-51,33.74,33.74,1
9MD-52,33.86,33.86,1
9MD-53,34.41,34.41,1
9MD-6,10.57,10.57,1
9MD-7,10.33,10.33,1
9MD-8,10.09,10.09,1
9MD-9,10.85,10.85,1
AP3421,23.11,11.19,0
AP3422,14.46,0.96,0
BBC010,24.812,24.81,1
BBC010_2,24.812,24.81,1
BBC0C8,26.012,26.01,1
BBC0C8_2,26.012,26.01,1
BBCA10,25.501,25.5,1
BBCA10_2,25.501,25.5,1
BBCA12,24.085,24.09,1
BBCA12_2,24.085,24.09,1
BBCB10,25.494,25.49,1
BBCB10_2,25.494,25.49,1
BBCC10,24.768,24.77,1
BBCC10_2,24.768,24.77,1
BC_EffFG1,25.396,20.94,1
BC_EffSF2,25.507,25.51,1
BEA-10,19.52,19.52,1
BEA-11,19.1,19.1,1
BEA-13,16.93,16.93,1
BEA-14,15.54,15.54,1
BEA-16,14.6,14.6,1
BEA-17,12.78,12.78,1
BEA-19,12.32,12.32,1
BEA-2,22.91,20.35,1
BEA-21,12.9,12.9,1
BEA-23,11.8,11.8,1
BEA-24,14.75,14.75,1
BEA-25,14.2,14.2,1
BEA-26,13.8,13.8,1
BEA-3,20.59,17.97,1
BEA-7,21.21,21.21,1
BEA-8,20.44,20.44,1
BEA-9,19.58,19.58,1
BEA-9MD-1,18.48,16.31,1
BEI-1,16.7,4.81,0
BEI-10,15.36,3.09,0
BEI-10A,17.0,2.97,0
BEI-13,15.65,2.5,0
BEI-14,15.65,2.38,0
BEI-15,16.5,2.23,0
