,Name,ID,rep_0
181,NESPS_Pump4_3_OMID,4359533,1
182,NESPS_Pump5_OMID,4359534,1
183,NESPS_Pump6_OMID,4359535,0
184,OakwoodPump1,4359536,1
185,OakwoodPump2,4359537,1
186,OakwoodPump3,4359538,1
187,OakwoodPump4,4359539,1
188,OakwoodPump5,4359540,0
189,OakwoodPump6,4359541,1
190,OakwoodPump7,4359542,1
191,OakwoodSanPump,4359543,1
192,OakwoodSanPump2,4359544,1
193,PF_DewaterPump,4359545,1
194,PF_SanitaryPump,4359546,1
195,PUMP26@3409-3410,4359547,1
196,PUMP51@7004-7000,4359548,1
197,PUMP56@1759-1760,4359549,1
198,RioVista1,4359550,1
199,RioVista2,4359551,1
200,RioVista3,4359552,1
201,RioVista4,4359553,1
202,RVSDS_EQ_Livonia_Pump1,4359554,1
203,RVSDS_EQ_Livonia_Pump2,4359555,1
204,RVSDS_EQ_Livonia_Pump3,4359556,1
205,RVSDS_EQ_Wayne_InflowPump1,4359557,1
206,RVSDS_EQ_Wayne_InflowPump2,4359558,1
207,RVSDS_EQ_Wayne_InflowPump3,4359559,1
208,RVSDS_EQ_Wayne_InflowPump4,4359560,1
209,RVSDS_EQ_Wayne_OutflowPump1,4359561,1
210,RVSDS_EQ_Wayne_OutflowPump2,4359562,1
211,RVSDS_INT_LS1A_DWP,4359563,1
212,RVSDS_INT_LS1A_Pump1,4359564,1
213,RVSDS_INT_LS1A_Pump2,4359565,1
214,RVSDS_INT_LS1A_Pump3,4359566,1
215,RVSDS_INT_LS1A_Pump4,4359567,1
216,RVSDS_INT_LS1A_Pump5,4359568,1
217,RVSDS_INT_LS1A_Pump6,4359569,1
218,RVSDS_RTB_DearbornHgts_3_DWP,4359570,1
219,RVSDS_RTB_DearbornHgts_3_RVSDS_RTB_Pump1,4359571,1
220,RVSDS_RTB_DearbornHgts_3_RVSDS_RTB_Pump2,4359572,1
221,RVSDS_RTB_DearbornHgts_3_RVSDS_RTB_Pump3,4359573,1
222,RVSDS_RTB_DearbornHgts_3_RVSDS_RTB_Pump4,4359574,1
223,RVSDS_RTB_DearbornHgts_3_RVSDS_RTB_Pump5,4359575,1
224,RVSDS_RTB_DearbornHgts_3_RVSDS_RTB_Pump6,4359576,1
225,RVSDS_RTB_Inkster_1_DWP,4359577,1
226,RVSDS_RTB_Inkster_1_RVSDS_RTB_Pump1,4359578,1
227,RVSDS_RTB_Inkster_1_RVSDS_RTB_Pump2,4359579,1
228,RVSDS_RTB_Inkster_1_RVSDS_RTB_Pump3,4359580,1
229,RVSDS_RTB_Inkster_1_RVSDS_RTB_Pump4,4359581,1
230,RVSDS_RTB_Inkster_1_RVSDS_RTB_Pump5,4359582,1
231,RVSDS_RTB_Inkster_1_RVSDS_RTB_Pump6,4359583,1
232,RVSDS_RTB_JohnDalyPS_Pump1,4359584,1
233,RVSDS_RTB_JohnDalyPS_Pump2,4359585,1
234,RVSDS_RTB_JohnDalyPS_Pump3,4359586,1
235,RVSDS_RTB_Middlebelt_DWP,4359587,1
236,RVSDS_RTB_Redford_1_DWP,4359588,1
237,RVSDS_RTB_Redford_1_RVSDS_RTB_Pump1,4359589,1
238,RVSDS_RTB_Redford_1_RVSDS_RTB_Pump2,4359590,1
239,RVSDS_RTB_Redford_1_RVSDS_RTB_Pump3,4359591,1
240,RVSDS_RTB_Redford_1_RVSDS_RTB_Pump4,4359592,1
241,RVSDS_RTB_Redford_1_RVSDS_RTB_Pump5,4359593,1
242,RVSDS_RTB_Redford_1_RVSDS_RTB_Pump6,4359594,1
243,RVSDS_RTB_Redford_SC_DWP,4359595,1
244,SA_DewaterPump,4359596,1
245,SFE01,4359597,1
246,Violet1,4359598,1
247,Violet2,4359599,1
248,Violet3,4359600,1
249,Violet4,4359601,1
250,Woodmere_SanPump5,4359602,1
251,Woodmere_SanPump6,4359603,1
252,Woodmere_STPump1,4359604,1
253,Woodmere_STPump2,4359605,1
254,Woodmere_STPump3,4359606,1
255,WRRF_Dummy,4359607,1
256,WRRF_PS1_P1,4359608,1
257,WRRF_PS1_P2,4359609,1
258,WRRF_PS1_P3,4359610,1
259,WRRF_PS1_P4,4359611,1
260,WRRF_PS1_P5,4359612,1
261,WRRF_PS1_P6,4359613,1
262,WRRF_PS1_P7,4359614,1
263,WRRF_PS1_P8,4359615,1
264,WRRF_PS2_P10,4359616,1
265,WRRF_PS2_P11,4359617,1
266,WRRF_PS2_P12,4359618,1
267,WRRF_PS2_P13,4359619,1
268,WRRF_PS2_P14,4359620,1
269,WRRF_PS2_P15,4359621,1
270,WRRF_PS2_P16,4359622,1
271,WRRF_PS2_P9,4359623,1
