Node ID,Max Depth (ft)
BEI-20,1.06
BEI-21,0.65
BEI-22,0.62
BEI-23,0.62
BEI-24,0.62
BEI-25,0.61
BEI-26,0.26
BEI-27,0.19
BEI-28,0.12
BEI-29,0.08
BEI-3,4.38
BEI-3A,9.6
BEI-4,4.08
BEI-4A,5.29
BEI-5,3.85
BEI-5B,3.78
BEI-5C,4.04
BEI-5E,3.96
BEI-6,3.61
BEI-6A,3.79
BEI-7,3.71
BEI-8,3.36
BEI-9,3.2
BEI-BER-2,2.79
BER-1,0.96
BER-10,0.41
BER-11,0.4
BER-12,0.41
BER-13,0.23
BER-14,0.14
BER-15,0.14
BER-16,0.24
BER-16A,0.0
BER-16B,0.0
BER-18,0.48
BER-2,0.97
BER-20,0.41
BER-21,0.2
BER-22,0.49
BER-23,0.43
BER-24,0.44
BER-25,2.77
BER-26,2.42
BER-27,2.17
BER-28,1.95
BER-29,1.73
BER-3,0.96
BER-30,1.52
BER-32,1.35
BER-34,1.27
BER-35,1.17
BER-36,1.16
BER-37,1.17
BER-38,1.16
BER-39,1.15
BER-4_11R-1,1.06
BER-40,1.17
BER-41,1.16
BER-42,0.92
BER-43,1.03
BER-44,1.03
BER-45,1.07
BER-46,0.99
BER-47,1.01
BER-5,0.84
BER-6,0.64
BER-7,0.48
BER-8,0.41
BER-9,0.41
BLAT-1,13.6
BLAT-10,19.19
BLAT-11,17.8
BLAT-12,16.41
BLAT-13,10.57
BLAT-2,23.92
BLAT-3,17.48
BLAT-4,18.1
BLAT-5,15.3
BLAT-6,15.25
BLAT-7,13.76
BLAT-8,13.49
BLAT-9,12.89
BLAT-RED-CON,15.24
BLT137019B,2.63
BluehillDSChamber,32.71
BluehillPS_Div,33.95
BonHeurDischarge1,0.79
BonHeurDischarge2,0.0
BonHeurDischarge3,1.36
BonHeurDischarge4,0.0
BonHeurOutlet1,1.54
BonHeurOutlet2,1.49
BonHeurOutlet3,1.64
BOU-11,20.37
BOU-2,24.25
BOU-4,30.5
BOU-5,25.7
BOU-6,29.1
BOU-7,28.52
BOU-8,25.21
BOU-9,23.65
BRIT-1,10.23
BRIT-2,10.38
BRIT-4,8.78
BypassGateDS,16.03
CCDWMH11,3.66
CCRegulator_DS,22.32
Chamber1,29.76
Chamber13,11.72
Chamber14,12.38
Chamber15,41.26
Chamber16,41.55
Chamber17,3.55
Chamber2,29.86
Chamber23,19.48
Chamber3,27.72
Chamber33,35.57
Chamber4,27.63
Chamber44,20.63
Chamber45,19.14
Chamber46,17.01
Chamber53,21.27
ChapatonIntermediate1,23.55
ChapatonSanitaryDischarge1,89.0
ChapatonSanitaryDischarge2,70.97
ChapatonSanitaryDischarge2A,30.59
ChapatonSanitaryDischarge3,36.89
ChapatonSanitaryDischarge4,8.6
ChapatonStormDischarge1,2.34
ChapatonStormDischarge2,36.5
ChapatonStormDischarge3,36.5
CM1,2.83
CM2,3.01
CM3,14.75
CM4,13.27
CM5,21.72
CON_Discharge10u,116.26
CON_Discharge11u,159.13
CON_Discharge12u,104.32
CON_Discharge1u,77.45
CON_Discharge2u,67.47
CON_Discharge3u,67.47
CON_Discharge4u,77.45
CON_Discharge5u,74.1
CON_Discharge6u,67.47
CON_Discharge7u,0.0
CON_Discharge8u,0.0
CON_Discharge9u,159.13
CON_DischargeD,38.14
CON_DischargeD2,81.35
CON_SanDisChamber,42.92
CUSH-1,16.58
CUSH-3,6.87
DAV-1,22.79
DAV-3,18.4
DAV-4,18.53
DAV-6,8.63
DN1000,0.87
DN100113,0.24
DN100120,0.46
DN100122,0.31
DN100125,0.18
DN100140,0.0
DN100141,0.41
DN100145,0.23
DN100150,0.49
DN1006,0.06
DN1007,0.07
DN1008,0.07
DN100805,0.05
DN100806,0.48
DN100843,0.82
DN100844,0.63
DN100844B,0.56
DN100845,0.67
DN100846,0.7
DN100853,0.7
DN100854,0.36
DN100854B,0.32
DN100855,0.19
DN100856,0.64
DN1009,0.12
DN100906,1.27
DN100910,1.38
DN100915,1.03
DN100918,0.67
DN100920,0.39
DN100925,0.12
DN1009294,0.17
DN1009300,0.2
DN1009301,0.34
DN100935,0.29
DN1009350,0.17
DN1009351,0.19
DN1009352,0.42
DN1009353,0.22
DN1009354,0.29
DN1009355,0.25
DN1009356,0.29
DN1009357,0.26
DN1009359,0.45
DN101,1.68
DN1010,0.09
DN101151,0.4
DN101152,0.36
DN101153,0.46
DN101222,0.32
DN101223,0.37
DN101251,0.42
DN101252,0.49
DN101311B,0.42
DN101314B,0.39
DN1014,0.02
DN101485B,0.62
DN101489,0.23
DN1015,0.07
DN101501,0.42
DN101502,0.36
DN101503,0.42
DN101504,0.15
DN101510,0.2
DN101515,0.58
DN101516,0.93
DN101530,0.26
DN101535,0.24
DN101536,0.98
DN101555,0.26
DN101600,1.76
DN101601,1.09
DN101602,0.69
DN101603,0.58
DN101604,0.75
DN101606,0.63
DN101700,0.47
DN101701,2.11
DN101702,1.76
DN101703,2.22
DN101704,0.54
DN101705,0.75
DN101706,2.12
DN101710,0.32
DN101716,1.89
DN101720,2.03
DN101725,2.07
DN101726,0.63
DN101732,1.07
DN101735,1.55
DN101736,1.04
DN101737,1.94
DN101738,1.93
DN101748,2.91
DN101750,3.38
DN101751,0.13
DN101756,1.75
DN101757,1.37
DN101759,1.66
DN101760,2.57
DN101761,1.8
DN101763,0.48
DN101764,1.35
DN101765,0.93
DN101766,3.55
DN101776,1.01
DN101777,1.6
DN101778,1.51
DN101787,0.79
DN101788,1.68
DN101789,2.07
DN101794,1.33
DN101796,1.72
DN101798,1.43
DN101798B,1.71
DN1019,0.02
DN102,1.75
DN1020,0.06
DN1024,0.02
DN1025,0.05
DN10252,0.0
DN1026,0.05
DN102604,0.16
DN102606,0.36
DN102700,0.4
DN102704,1.74
DN102705,0.33
DN102706,1.28
DN102710,0.47
DN102716,2.92
DN102720,2.39
DN102725,2.85
DN102726,0.38
DN102732,2.81
DN102735,2.26
DN102736,1.71
DN102737,1.71
DN102738,1.66
DN102748,0.98
DN102750,1.8
DN102751,1.87
DN102756,1.6
DN102757,1.79
DN102759,1.87
DN102760,2.86
DN102761,0.66
DN102763,2.02
DN102764,2.73
DN102765,1.78
DN102776,1.9
DN102777,1.41
DN102778,1.43
DN102786,2.37
DN102787,1.85
DN102788,1.49
DN102794,1.61
DN102796,1.88
DN102798,0.97
DN102798B,1.13
DN103100,0.67
DN103101,0.5
DN103110,1.13
DN103130,0.76
DN103150,0.21
DN103151,0.27
DN103160,0.35
DN103161,0.33
DN103171,0.12
DN103211,0.32
DN103220,0.38
DN103300,0.73
DN104200,0.91
DN104300,0.55
DN104301,0.36
DN104303,0.91
DN104303B,0.33
DN104350,0.11
DN104351,0.4
DN104353,0.67
DN104353B,0.36
DN105,2.88
DN105100,0.76
DN105200,0.28
DN105350,0.93
DN1067,0.02
DN1068,0.02
DN1069,0.04
DN1070,0.01
DN107100,0.96
DN107251,0.58
DN107261,0.5
DN107361,0.47
DN107370,0.54
DN107371,0.4
DN107380,0.42
DN107381,0.29
DN107430,0.3
DN107431,0.34
DN107451,0.37
DN107461,0.42
DN107471,0.39
DN107480,0.7
DN107500,0.35
DN107501,0.28
DN107550,0.12
DN107551,0.28
DN1084,0.44
DN108401,0.32
DN108403,0.34
DN108403B,0.11
DN10841,0.73
DN10842,0.64
DN1085,0.64
DN1086,1.02
DN10861,0.59
DN108631,0.37
DN108632,0.36
DN108633,0.65
DN108633B,0.26
DN108651,0.37
DN108653,0.47
DN108653B,0.18
DN1087,0.59
DN109450,0.25
DN109451,0.28
DN109992,0.63
DN109993,0.73
DN109995,0.29
DN1100,0.04
DN1105,0.03
DN11051,0.0
DN1106,0.02
DN1107,0.03
DN1108,0.02
DN1109,0.02
DN110997,0.51
DN110998,0.25
DN110999,0.3
DN1110,0.04
DN1111,0.04
DN1112,0.03
DN1113,0.03
DN1114,0.02
DN1120,0.07
DN1121,0.05
DN1122,0.04
DN1123,0.03
DN1124,0.03
DN1125,0.0
DN113,1.34
DN113060,1.08
DN113070,0.37
DN113080,1.13
DN113110,0.36
DN113120,0.59
DN113130,0.38
DN113140,0.53
DN113143B,0.71
DN113150,1.22
DN113160,1.3
DN113250,0.66
DN113350,0.45
DN113360,0.75
DN113370,0.92
DN114100,0.38
DN114151,0.72
DN114200,1.01
DN114251,0.68
DN114301,0.66
DN114321,0.55
DN114331,0.36
DN114340,0.8
DN114341,0.65
DN114350,0.72
DN114351,0.36
DN114361,0.34
DN114371,0.56
DN114401,0.46
DN114411,0.82
DN114421,0.54
DN114451,0.53
DN114471,0.55
DN114500,0.49
DN114501,0.55
DN114511,0.4
DN114521,0.62
DN114531,0.62
DN114550,0.73
DN114551,0.35
DN114561,0.61
DN114571,0.61
DN114581,0.6
DN114600,0.09
DN114601,0.34
DN114611,0.48
DN114651,0.24
DN114701,0.91
DN114710,0.28
DN114730,0.2
DN114740,0.31
DN114751,0.67
DN114770,0.25
DN114780,0.78
DN114800,0.76
DN114850,0.73
DN114901,0.77
DN114910,0.75
DN115,1.4
DN1151,1.01
DN1152,0.87
DN1153,0.77
DN1156,0.1
DN1157,0.05
DN1158,0.06
DN1159,0.05
DN1160,0.05
DN116050,0.53
DN116051,0.14
DN1161,0.04
DN1162,0.04
DN1163,0.04
DN1164,0.03
DN1165,0.02
DN1166,0.01
DN1172,0.01
DN1173,0.0
DN1174,0.03
DN117400,0.22
DN117404,0.1
DN117405,0.1
DN117406,0.47
DN117410,0.39
DN117430,0.0
DN117440,0.28
DN117441,0.2
DN117442,0.15
DN117443,0.36
DN117450,1.58
DN1175,0.08
DN1176,0.09
DN1177,0.09
DN117750,0.31
DN117751,0.5
DN117752,1.21
DN1178,0.08
DN117801,0.29
DN117802,0.43
DN117811,0.21
DN117812,0.6
DN117840,0.29
DN1179,0.08
DN117930,0.14
DN117931,0.14
DN117932,0.35
DN117933,0.35
DN117934,0.43
DN117935,0.37
DN1180,0.08
DN1181,0.07
DN1182,0.07
DN1183,0.04
DN1184,0.03
DN1185,0.02
DN1186,0.01
DN1187,0.04
DN1190,0.0
DN120,1.06
DN1205,0.05
DN1210,0.05
DN121001,0.37
DN121011,0.22
DN121021,0.31
DN121031,0.22
DN121041,0.35
DN121050,0.6
DN121051,0.2
DN1215,0.05
DN1216,0.05
DN1217,0.0
DN1218,0.0
DN1219,0.0
DN122,1.02
DN1221,0.61
DN1222,0.61
DN1223,0.46
DN1231,0.09
DN1233,0.1
DN1235,0.1
DN1237,0.08
DN1238,0.08
DN1239,0.07
DN1240,0.07
DN124000,0.24
DN124010,0.16
DN124020,0.34
DN124050,0.59
DN124060,0.18
DN124070,0.35
DN124080,0.38
DN124090,0.32
DN124100,0.26
DN124110,0.55
DN125,0.83
DN125001,4.13
DN1251,0.82
DN1252,1.01
DN127400,0.32
DN127401,0.32
DN127402,0.32
DN127403,0.24
DN127410,0.24
DN127411,0.32
DN127412,0.32
DN127413,0.32
DN127430,0.34
DN127431,0.36
DN127432,0.34
DN127440,0.32
DN127441,0.32
DN127442,0.32
DN127443,0.27
DN127450,2.1
DN127451,0.32
DN127750,0.18
DN127751,0.23
DN127752,0.81
DN127800,0.23
DN127801,0.26
DN127802,0.14
DN127810,0.19
DN127811,0.23
DN127840,0.24
DN127841,0.28
DN127842,0.28
DN127843,1.4
DN127844,1.27
DN127930,0.22
DN127931,0.21
DN127932,1.07
DN127933,1.15
DN127934,0.73
DN127935,1.07
DN1305,7.2
DN1306,6.01
DN1307,5.08
DN1308,4.01
DN1310,3.24
DN1311,2.67
DN1312,2.52
DN13121,2.36
DN1313,2.61
DN131310,0.7
DN131320,0.97
DN131330,0.53
DN131340,0.86
DN131350,0.45
DN131360,0.98
DN1314,2.56
DN13141,2.63
DN13142,2.65
DN13143,2.46
DN13144,1.59
DN1315,2.38
DN131510,0.11
DN131511,0.32
DN131520,0.11
DN131521,0.31
DN131530,0.48
DN131531,0.4
DN1316,2.21
DN1317,2.35
DN131710,0.44
DN131711,0.54
DN131720,0.29
DN131730,0.4
DN131740,0.25
DN131741,0.4
DN1320,1.75
DN13201,0.99
DN1325,0.83
DN1330,0.39
DN13301,0.37
DN133010,0.42
DN133020,0.37
DN133030,0.62
DN133040,0.56
DN133050,0.37
DN133060,0.32
DN133070,0.47
DN133080,0.47
DN1335,1.82
DN1336,2.01
DN1337,1.77
DN1385,1.53
DN1392,4.29
DN1393,4.74
DN1394,6.4
DN140,2.01
DN1405,10.03
DN140811,0.25
DN140821,0.42
DN140830,0.68
DN140841,0.3
DN140851,0.38
DN140861,0.38
DN140871,0.42
DN140881,0.34
DN1410,7.09
DN1412,5.94
DN1414,5.56
DN1415,4.89
DN14151,1.75
DN14152,1.14
DN142,0.78
DN142011,0.44
DN142021,0.54
DN142031,0.53
DN1423,5.01
DN1424,4.9
DN1425,4.77
DN1427,3.75
DN1428,3.71
DN143,0.28
DN1430,3.65
DN143000,0.95
DN143001,0.45
DN143002,0.52
DN143003,0.39
DN143003B,0.2
DN143011,0.32
DN143013,0.54
DN143013B,0.21
DN143021,0.35
DN143022,0.54
DN143023,0.68
DN143023B,0.27
DN1432,3.13
DN14321,3.47
DN14322,3.46
DN14323,3.45
DN14324,3.42
DN14325,3.36
DN14326,3.34
DN1433,3.36
DN1434,3.19
DN1435,3.08
DN143510,0.16
DN143511,0.42
DN143520,0.11
DN143521,0.42
DN143523,1.65
DN143523B,0.28
DN143530,0.35
DN143531,0.45
DN143533,0.64
DN143533B,0.26
DN143540,0.12
DN143541,0.45
DN143543,0.67
DN143543B,0.27
DN14361,2.77
DN1437,2.87
DN1440,2.87
DN144000,0.32
DN144001,0.49
DN144010,0.34
DN144011,0.31
DN144012,0.63
DN144022,1.26
DN144023,1.23
DN144023B,0.32
DN144030,0.37
DN144031,0.46
DN144032,0.08
DN144033,0.56
DN144033B,0.22
DN144041,0.45
DN1441,2.87
DN1442,2.75
DN1445,2.67
DN1447,2.6
DN145,0.63
DN1450,2.54
DN145000,0.26
DN145001,0.38
DN145011,0.35
DN145021,0.35
DN145030,0.58
DN145031,0.39
DN1451,2.33
DN1452,2.39
DN1453,2.25
DN1455,2.1
DN145500,0.48
DN145501,0.47
DN145510,0.46
DN145511,0.42
DN145520,0.33
DN145521,0.47
DN145530,0.15
DN145531,0.46
DN145540,0.12
DN145541,0.4
DN14561,2.03
DN1457,2.06
DN1458,1.79
DN1460,1.53
DN1461,0.73
DN1463,1.03
DN1465,1.04
DN14651,1.11
DN14652,0.97
DN14653,0.94
DN14654,0.81
DN1467,2.43
DN1468,2.28
DN1470,2.27
DN1471,2.93
DN1472,2.56
DN1473,2.53
DN1474,2.14
DN1475,2.08
DN14751,1.9
DN14752,1.64
DN14753,1.44
DN14754,1.01
DN1477,2.17
DN14771,2.01
DN14772,1.05
DN1478,1.85
DN1479,1.67
DN1480,1.66
DN1485,2.06
DN1486,1.32
DN1487,1.34
DN1488,0.79
DN1489,1.38
DN1490,0.53
DN1491,0.37
DN1492,0.41
DN14920,0.46
DN1493,3.42
DN1493310,0.77
DN1495,9.49
DN1496,7.51
DN1497,7.48
DN1498,7.51
DN1499,7.42
DN150,0.99
DN1501,1.0
DN1502,0.81
DN1503,0.68
DN1504,0.33
DN1505,5.66
DN1510,5.21
DN1513,3.13
DN1515,2.64
DN151500,0.73
DN151501,0.07
DN151510,0.91
DN151520,0.6
DN151521,0.29
DN152,0.49
DN1520,1.82
DN1525,1.49
DN1527,1.04
DN1530,1.4
DN1535,1.41
DN1540,2.66
DN1545,1.46
DN1550,0.91
DN1555,0.47
DN156,2.01
DN157,0.24
DN158,4.91
DN1586,19.12
DN1587,7.79
DN1594,1.46
DN161030,0.3
DN161031,0.42
DN16275,10.76
DN170910,0.68
DN170920,0.67
DN171010,0.92
DN171011,0.41
DN171500,0.65
DN171510,0.54
DN171520,0.49
DN171540,0.65
DN171550,0.76
DN171560,0.7
DN171570,0.82
DN171610,0.34
DN171710,0.66
DN171711,0.24
DN171721,0.46
DN171730,0.34
DN171731,0.29
DN171741,0.42
DN173511,0.52
DN173521,0.42
DN175010,0.58
